index,frb_name,fingerprint,name,fluence
467,FRB20190428A,b4b3e73fb0f9a28ea95251ee5ab0a2660ca572f56e49015e76282d57dced218a,FRB20190428A,2.2
468,FRB20190429A,946631512b5676311cafe8b85569bef154c06f4dbcdcf9b36e4d3d75ff7181d7,FRB20190429A,0.8
469,FRB20190429B,d22788b2fff03023e007730bd43f545804313549769019a82e042ac2a7f0581d,FRB20190429B,0.7
470,FRB20190430B,ae14d96cac1f032ac4e8949346949f87b192e1cd8685f2cb1317ea69dda5067d,FRB20190430B,0.4
471,FRB20190430A,f075892b744e71fc89ccabc882c6a18b1b021b2803c423dadcd51b4d787a29fb,FRB20190430A,0.8
472,FRB20190430C,39d3e599e8a93b47883aeb736fcf9d7351f49d6b3e30d4865e62559def6cea0e,FRB20190430C,2.2
473,FRB20190501B,af09e9df53ae1f257ae0d7b07082a0412f1bded67b6f62ee507f6daaa0be18ab,FRB20190501B,0.9
474,FRB20190501B,af09e9df53ae1f257ae0d7b07082a0412f1bded67b6f62ee507f6daaa0be18ab,FRB20190501B,0.9
475,FRB20190502A,16e7bfa9369a95651d512dfde52316e7d9ff640a7df1ce4309c2a9399766ffae,FRB20190502A,3.2
476,FRB20190502B,ab5d616581fc860c56c5f955bbfe3a0e7af97de2b75758a8814da35e59c64af0,FRB20190502B,2.6
477,FRB20190502C,5a23b65944ddddf6cda920515f4dab4d15aebe3adfc112f33cf45dc87f58696b,FRB20190502C,3.6
478,FRB20190515A,935ac08e721e7713c54a971fec441982140be5d9d09cc61251468158374f2786,FRB20190515A,0.6
479,FRB20190515B,201d33529db8eb19ad08e1ebf3cc26823a94a7a6bf26dd748fe08d8b29d1fa1d,FRB20190515B,2.8
480,FRB20190515C,d226b3137c52e96bbc41d089a1fd08513ea07bbd45108cd1f8201641c85e965d,FRB20190515C,0.5
481,FRB20190515D,bbcbb81b6744aea0b43069b78e8b0cc1c635f9b127f93da5a70a7bdf555eeab1,FRB20190515D,3.0
482,FRB20190516B,0ededeacd4f2091e4d27e7b2db7ecdc4d66e651fb62f85f00ba5f4132ae18f72,FRB20190516B,1.1
483,FRB20190517D,fbf4379ac4fd17103b9f83b2a0c493aa8dd46011665299688a0e14d450720b46,FRB20190517D,0.5
484,FRB20190517B,e6d5df269b009770bb759836a6436607c88dd19f003ae032853e0d1497d6d7ec,FRB20190517B,0.5
485,FRB20190517C,2ecacf09da5dea30edfaa3922dcb2fefbba50bb976333ed4416b2b1b34771e4a,FRB20190517C,3.1
486,FRB20190518B,c6d44c2fd0354d665466c8492bac088be2f5353954675a218d56a5b8df349c25,FRB20190518B,1.5
487,FRB20190518C,dfdb4d797bb4c740b4ed9eefafb8a6e8806355b7aa879bafbca981ddf2d22a30,FRB20190518C,6.7
488,FRB20190518D,d30b4bd30b2e5ab008e6cee62e42e77fc8f92164265c07f324384380f6d1de84,FRB20190518D,1.4
489,FRB20190518A,bc88a387da965d17642c344cee2d6ce880f4137df7e6e7687c1b32bb8a7d71d8,FRB20190518A,0.3
490,FRB20190518E,6bc23f80cde4df1929e3ac670c1b3b6e2d33f582be6b322445c7a4f62970673e,FRB20190518E,0.8
491,FRB20190518G,9a0ef712611762345502c58e7e09862823be7031345cf6a659412638893d8239,FRB20190518G,1.0
492,FRB20190519D,c71aa4ca961266cba23dc6bd7f8ae929331d8362287e039163632b787cbc1f0e,FRB20190519D,0.4
493,FRB20190519E,4521ee3ab001a6938ba9d9b76d9318d6483eb8f4e64ab2c11f93b16434d5e42d,FRB20190519E,1.0
494,FRB20190519F,6d771910e599da1d750ad2cb36daa054e642c5fe172a6cb44969be136a62821a,FRB20190519F,0.8
495,FRB20190519G,791ad626fc2826debbb5410a75703a96bf0698708020c40c40779f901c6a482d,FRB20190519G,1.1
496,FRB20190519H,260321b949846d94478c827430d5f8a446d6bead72bce9a43612d30af56f6d50,FRB20190519H,3.2
497,FRB20190519A,19d8bdfc8364a7b22fb10f92270baae6a3b2781a89afc21ad689df67cdc23222,FRB20190519A,1.2
498,FRB20190519A,19d8bdfc8364a7b22fb10f92270baae6a3b2781a89afc21ad689df67cdc23222,FRB20190519A,1.2
499,FRB20190519B,4695666a274992db75a59a44a9ba163ba321c39b8abd45bdb3cbd63406da9578,FRB20190519B,1.0
500,FRB20190519B,4695666a274992db75a59a44a9ba163ba321c39b8abd45bdb3cbd63406da9578,FRB20190519B,1.0
501,FRB20190519B,4695666a274992db75a59a44a9ba163ba321c39b8abd45bdb3cbd63406da9578,FRB20190519B,1.0
502,FRB20190519B,4695666a274992db75a59a44a9ba163ba321c39b8abd45bdb3cbd63406da9578,FRB20190519B,1.0
503,FRB20190519C,6c557d8f98a012b5b3c6aa724a940f825db067154d9fdc085000a15881159b0c,FRB20190519C,0.6
504,FRB20190519J,b8b8831aa9041a204760fbb441554787d99ed93b7255fe851c20c5f7be124b98,FRB20190519J,0.6
505,FRB20190520A,224c552b323f55f14ff17ca2601edba97112c2d80e22a1263f97b8d931f02b54,FRB20190520A,1.1
506,FRB20190527A,366e300243d6745d65d17707323bd5908e2ed312c68d1ea44b5c7cdc0a8a437a,FRB20190527A,0.5
507,FRB20190527A,366e300243d6745d65d17707323bd5908e2ed312c68d1ea44b5c7cdc0a8a437a,FRB20190527A,0.5
508,FRB20190527B,f935279082a75920423a896fa5e62c582bc6ee5ba8e6cb7b472df6b724c5a3c9,FRB20190527B,0.4
509,FRB20190527C,d5db06dc27b9ae7873937a68434a8195eadfec386fde49e837d8dc00f71834ec,FRB20190527C,3.0
510,FRB20190529A,b9410ad52d16acce3556b46f6f252071d601388c9f3d2965427836151d9ac5bf,FRB20190529A,0.5
511,FRB20190530A,724dcbaaae01fec959846b8b4af440305f6c4a2800dc870940d7a0ce8a8539ff,FRB20190530A,0.6
